cell_id,centroid_lat,centroid_lon,area_km2,wind_speed,wind_confidence,demand_proxy,source_region,demand_confidence,dist_transmission_km,dist_substation_km,dist_connection_km,inside_rez,rez_name,infra_confidence,elevation_m,slope_deg,tri,land_use,protected_area,protected_area_name,geo_confidence,eligible,exclusion_reason,triggered_rules,data_flags,n_missing_features
S28.186_E143.336,-28.18625,143.33625000000004,27.204759104818237,6.138384298086167,valid,1.0,QLD1,high,330.51383468437064,330.5260273127073,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.386,-28.18625,143.38625000000002,27.204759104804932,6.275186550617218,valid,1.0,QLD1,high,326.8637730674152,326.87521479391035,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.436,-28.18625,143.43625000000003,27.20475910481843,6.345712562799454,valid,1.0,QLD1,high,323.2439953690679,323.25466852863855,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.486,-28.18625,143.48625,27.204759104803614,6.503705379962921,valid,1.0,QLD1,high,319.6555309596496,319.66541747372105,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.536,-28.18625,143.53625000000002,27.204759104817978,6.699223425388336,valid,1.0,QLD1,high,316.09944683603266,316.108528213469,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.586,-28.18625,143.58625000000004,27.204759104817406,6.876674265861511,valid,1.0,QLD1,high,312.57684869372804,312.5851060333057,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.636,-28.18625,143.63625000000002,27.204759104818077,6.881671608686447,valid,1.0,QLD1,high,309.0888819742241,309.0962959688323,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.686,-28.18625,143.68625000000003,27.204759104816997,6.668812855482101,valid,1.0,QLD1,high,305.63673287825446,305.64328382102,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.736,-28.18625,143.73625,27.204759104816986,6.478788506984711,valid,1.0,QLD1,high,302.22162933451744,302.2272971270652,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.786,-28.18625,143.78625000000002,27.20475910481782,6.4101034915447235,valid,1.0,QLD1,high,298.84484191196896,298.8496060750419,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.836,-28.18625,143.83625000000004,27.204759104802854,6.324717501401901,valid,1.0,QLD1,high,295.50768466272393,295.5115243494015,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.886,-28.18625,143.88625000000002,27.204759104816475,6.5181275761127475,valid,1.0,QLD1,high,292.21151588091266,292.21440989267705,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.936,-28.18625,143.93625000000003,27.204759104802246,6.644002175331115,valid,1.0,QLD1,high,288.95773876158415,288.95966556749596,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E143.986,-28.18625,143.98625,27.204759104816524,6.829613879919052,valid,1.0,QLD1,high,285.7478019420845,285.74873970133984,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.036,-28.18625,144.03625000000002,27.20475910480309,6.861055401563644,valid,1.0,QLD1,high,282.58319990679087,282.5831264949393,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.086,-28.18625,144.08625000000004,27.20475910481611,6.769566152095795,valid,1.0,QLD1,high,279.46547323449465,279.46436627360237,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.136,-28.18625,144.13625000000002,27.20475910480331,6.639400272369385,valid,1.0,QLD1,high,276.396208666101,276.3940455591482,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.186,-28.18625,144.18625000000003,27.204759104818784,6.560449190139771,valid,1.0,QLD1,high,273.3770389687619,273.37379693855877,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
S28.186_E144.236,-28.18625,144.23625,27.20475910480664,6.574792501926422,valid,1.0,QLD1,high,270.4096425710933,270.4052987039958,,False,,low,,,,,False,,low,False,Missing wind data,missing_wind_data,"Urban-centre data unavailable outside New England REZ coverage (urban_area defaults to False, not confirmed)",4
